habitat	treeID	date	pointID	plant_species	wet_mass_g	dry_mass_g	N_leaves	dist_obs_m	slope_deg	height	observer	height_eyes_m
invaded	L5L2	27-7-23	L5	Ligustrum_lucidum	NA	NA	NA	3.04	154	7.76	Agus	1.53
invaded	L5L3	27-7-23	L5	Ligustrum_lucidum	0.97	0.332	5	2.7	136	4.33	Agus	1.53
invaded	L6L1	27-7-23	L6	Ligustrum_lucidum	4.85	1.661	5	4.42	135	5.95	Agus	1.53
invaded	L6L2	27-7-23	L6	Ligustrum_lucidum	NA	NA	NA	3.94	135	5.47	Agus	1.53
invaded	L6L3	27-7-23	L6	Ligustrum_lucidum	NA	NA	NA	5.17	161	16.54	Agus	1.53
invaded	L7L1	27-7-23	L7	Ligustrum_lucidum	NA	NA	NA	4.05	158	11.55	Agus	1.53
invaded	L7L2	27-7-23	L7	Ligustrum_lucidum	NA	NA	NA	2.86	157	8.27	Agus	1.53
invaded	L7L3	27-7-23	L7	Ligustrum_lucidum	NA	NA	NA	5	154	11.78	Agus	1.53
invaded	L8L1	27-7-23	L8	Ligustrum_lucidum	2.85	0.919	5	5.93	160	17.82	Agus	1.53
invaded	L8L2	27-7-23	L8	Ligustrum_lucidum	NA	NA	NA	4.53	154	10.82	Agus	1.53
invaded	L8L3	27-7-23	L8	Ligustrum_lucidum	NA	NA	NA	4.83	162	16.4	Agus	1.53
invaded	L9L1	27-7-23	L9	Ligustrum_lucidum	2.84	0.803	5	4.77	161	15.38	Agus	1.53
invaded	L9L2	27-7-23	L9	Ligustrum_lucidum	NA	NA	NA	4.29	159	12.71	Agus	1.53
invaded	L9L3	27-7-23	L9	Ligustrum_lucidum	1.3	0.414	5	5.61	153	12.54	Agus	1.53
native	T10AC3	11/9/2023	T10	Acacia_sp	3.2	1.163	5	5.27	131	6.13	Facu	1.55
native	T10AC1	11/9/2023	T10	Acacia_sp	NA	NA	NA	5.9	138	8.1	Facu	1.55
native	T10AC2	11/9/2023	T10	Acacia_sp	0.31	0.105	1	6.9	140	9.77	Facu	1.55
native	T10C1	11/9/2023	T10	Scutia_buxifolia	0.13	0.07	5	3.26	118	3.28	Facu	1.55
native	T10C2	11/9/2023	T10	Scutia_buxifolia	0.29	0.14	5	4.03	128	4.7	Facu	1.55
native	T10C3	11/9/2023	T10	Scutia_buxifolia	0.35	0.149	5	4.53	134	5.92	Facu	1.55
native	T10C4	11/9/2023	T10	Scutia_buxifolia	0.13	0.065	5	3.52	117	3.34	Facu	1.55
native	T10exo1	11/9/2023	T10	NA6	1.34	0.371	5	4.46	124	4.56	Facu	1.55
native	T10L1	11/9/2023	T10	Ligustrum_lucidum	7.34	2.625	5	6.4	126	6.2	Facu	1.55
native	T10M1	11/9/2023	T10	Schinus_longifolius	0.24	0.108	5	3.37	127	4.09	Facu	1.55
native	T10M2	11/9/2023	T10	Schinus_longifolius	0.19	0.093	5	1.95	124	2.87	Facu	1.55
native	T10M3	11/9/2023	T10	Schinus_longifolius	0.32	0.153	5	4.03	128	4.7	Facu	1.55
native	T10T1	12/11/2023	T10	Celtis_tala	0.42	0.181	5	1.27	142	3.16	Agus	1.53
native	T11aC1	11/9/2023	T11a	Scutia_buxifolia	0.27	0.139	5	6.13	132	7.07	Facu	1.55
native	T11aC2	11/9/2023	T11a	Scutia_buxifolia	0.21	0.093	5	4.87	135	6.42	Facu	1.55
native	T11aC3	11/9/2023	T11a	Scutia_buxifolia	0.2	0.096	5	3.97	132	5.12	Facu	1.55
native	T11aC4	11/9/2023	T11a	Scutia_buxifolia	0.21	0.096	5	6.28	136	8.05	Facu	1.55
native	T11aC5	11/9/2023	T11a	Scutia_buxifolia	0.09	0.051	5	4.27	136	5.97	Facu	1.55
native	T11aM1	11/9/2023	T11a	Schinus_longifolius	0.34	0.141	5	4.59	129	5.27	Facu	1.55
native	T11aST1	11/9/2023	T11a	Jodina_rhombifolia	1.56	0.552	5	3.7	129	4.55	Facu	1.55
native	T11aST2	11/9/2023	T11a	Jodina_rhombifolia	0.91	0.418	5	2.88	135	4.43	Facu	1.55
native	T11aST3	11/9/2023	T11a	Jodina_rhombifolia	0.91	0.408	5	1.86	122	2.71	Facu	1.55
native	T11aST4	11/9/2023	T11a	Jodina_rhombifolia	0.64	0.275	5	2.66	134	4.12	Facu	1.55
native	T11aST5	11/9/2023	T11a	Jodina_rhombifolia	0.72	0.253	5	4.1	126	4.53	Facu	1.55
native	T11aT1	12/11/2023	T11	Celtis_tala	0.34	0.094	5	2.63	151	6.29	Facu	1.55
native	T11bAC1	26-10-23	T11b	Acacia_sp	NA	NA	NA	5.95	137	7.93	Facu	1.55
native	T11bC1	26-10-23	T11b	Scutia_buxifolia	0.16	0.09	5	4.62	138	6.68	Facu	1.55
native	T11bC2	26-10-23	T11b	Scutia_buxifolia	0.17	0.075	5	6	141	8.96	Facu	1.55
native	T11bC3	26-10-23	T11b	Scutia_buxifolia	0.17	0.094	5	4.88	139	7.16	Facu	1.55
native	T11bC4	26-10-23	T11b	Scutia_buxifolia	0.21	0.144	5	2.47	131	3.7	Facu	1.55
native	T11bL1	26-10-23	T11b	Ligustrum_lucidum	2.31	0.645	5	3.78	132	4.95	Facu	1.55
native	T11bL2	26-10-23	T11b	Ligustrum_lucidum	4.52	1.404	5	5.34	134	6.71	Facu	1.55
native	T11bL3	26-10-23	T11b	Ligustrum_lucidum	3.73	1.364	5	5.34	138	7.48	Facu	1.55
native	T11bL4	26-10-23	T11b	Ligustrum_lucidum	NA	NA	NA	3.82	146	7.21	Facu	1.55
native	T11bL5	26-10-23	T11b	Ligustrum_lucidum	3.05	1.119	5	4.87	139	7.15	Facu	1.55
native	T11bST1	26-10-23	T11b	Jodina_rhombifolia	1.07	0.492	5	2.2	136	3.83	Facu	1.55
native	T12C1	26-10-23	T12	Scutia_buxifolia	0.34	0.21	5	6	126	5.91	Facu	1.55
native	T12C2	26-10-23	T12	Scutia_buxifolia	0.18	0.122	5	3.93	147	7.6	Facu	1.55
native	T12C3	26-10-23	T12	Scutia_buxifolia	0.27	0.166	5	3.63	125	4.09	Facu	1.55
native	T12C4	26-10-23	T12	Scutia_buxifolia	0.19	0.12	5	4.95	136	6.68	Facu	1.55
native	T12C5	26-10-23	T12	Scutia_buxifolia	0.24	0.129	5	3.59	126	4.16	Facu	1.55
native	T12L1	26-10-23	T12	Ligustrum_lucidum	5.3	1.906	5	5.8	140	8.46	Facu	1.55
native	T12L2	26-10-23	T12	Ligustrum_lucidum	3.71	1.342	5	3.42	136	5.09	Facu	1.55
native	T12L3	26-10-23	T12	Ligustrum_lucidum	4.06	1.504	5	3.52	138	5.46	Facu	1.55
native	T12L4	26-10-23	T12	Ligustrum_lucidum	4.78	1.867	5	3.29	142	5.76	Facu	1.55
native	T12L5	26-10-23	T12	Ligustrum_lucidum	5.73	2.112	5	4.95	140	7.45	Facu	1.55
native	T12M1	26-10-23	T12	Schinus_longifolius	0.41	0.239	5	2.66	132	3.95	Facu	1.55
native	T13C1	10/5/2023	T13	Scutia_buxifolia	0.12	0.045	5	3.55	149	7.46	Facu	1.55
native	T13C2	10/5/2023	T13	Scutia_buxifolia	0.21	0.127	5	3.83	129	4.65	Facu	1.55
native	T13C3	10/5/2023	T13	Scutia_buxifolia	0.19	0.108	5	2.57	118	2.92	Facu	1.55
native	T13C4	10/5/2023	T13	Scutia_buxifolia	0.17	0.109	5	4.9	135	6.45	Facu	1.55
native	T13C5	10/5/2023	T13	Scutia_buxifolia	0.11	0.075	5	4.53	134	5.92	Facu	1.55
native	T13SP21	10/5/2023	T13	NA2	NA	NA	NA	3.9	145	7.12	Facu	1.55
native	T14F1	10/5/2023	T14	Fraxinus_sp	0.72	0.188	5	9.15	140	12.45	Facu	1.55
native	T14M1	10/5/2023	T14	Schinus_longifolius	0.15	0.086	5	3.2	130	4.24	Facu	1.55
native	T14OL1	10/5/2023	T14	Ulmus_populus	0.56	0.167	5	5.58	139	7.97	Facu	1.55
native	T15C1	10/5/2023	T15	Scutia_buxifolia	0.22	0.101	5	3.03	130	4.09	Facu	1.55
native	T15L3	10/5/2023	T15	Ligustrum_lucidum	0.33	0.093	5	2.08	126	3.06	Facu	1.55
native	T15L1	10/5/2023	T15	Ligustrum_lucidum	4.99	2.265	5	2.96	132	4.22	Facu	1.55
native	T15L2	10/5/2023	T15	Ligustrum_lucidum	0.62	0.241	5	2.52	134	3.98	Facu	1.55
native	T15L4	10/5/2023	T15	Ligustrum_lucidum	0.56	0.178	5	NA	NA	1.8	Facu	1.55
native	T15L5	10/5/2023	T15	Ligustrum_lucidum	4.04	1.632	5	2.76	145	5.49	Facu	1.55
native	T15M1	10/5/2023	T15	Schinus_longifolius	NA	NA	NA	3.28	125	3.85	Facu	1.55
native	T16C1	10/5/2023	T16	Scutia_buxifolia	0.14	0.084	5	NA	NA	1.7	Facu	1.55
native	T16C2	10/5/2023	T16	Scutia_buxifolia	0.17	0.07	5	4.76	141	7.43	Facu	1.55
native	T16C3	10/5/2023	T16	Scutia_buxifolia	0.16	0.117	5	3.42	119	3.45	Facu	1.55
native	T16C4	10/5/2023	T16	Scutia_buxifolia	0.21	0.108	5	2.65	130	3.77	Facu	1.55
native	T16C5	10/5/2023	T16	Scutia_buxifolia	NA	NA	NA	3.6	147	7.09	Facu	1.55
native	T16L1	10/5/2023	T16	Ligustrum_lucidum	2.14	0.798	5	3.91	140	6.21	Facu	1.55
native	T16L2	10/5/2023	T16	Ligustrum_lucidum	1.65	0.611	5	5.8	146	10.15	Facu	1.55
